153,83,145,127
152,83,144,127
152,82,143,127
151,82,143,126
150,81,142,126
150,81,142,126
149,80,141,125
148,80,141,125
148,79,140,124
147,79,140,124
147,79,139,123
146,79,138,123
145,79,138,122
145,78,137,121
143,77,137,121
143,78,135,121
143,77,135,120
143,76,135,120
142,76,135,119
142,76,134,119
141,75,134,118
140,75,133,118
140,75,133,117
139,74,132,117
139,74,131,116
137,74,131,116
137,73,131,115
137,73,130,115
135,72,130,115
135,71,129,114
135,71,128,114
135,71,127,113
134,71,127,113
133,71,127,112
133,71,126,112
132,70,126,111
131,70,125,111
131,69,125,111
131,69,124,110
130,69,124,110
130,68,124,109
129,68,123,108
128,67,123,108
127,67,122,108
127,67,121,108
127,67,121,107
127,67,120,107
126,66,120,106
125,66,120,105
125,66,120,105
124,65,119,105
124,65,118,105
123,65,133,103
123,64,199,103
123,64,305,103
121,63,341,103
121,63,338,103
121,63,335,102
120,63,333,101
120,63,331,101
120,62,329,101
119,63,327,100
118,62,325,100
118,61,323,99
117,61,322,99
117,61,319,99
116,62,319,99
115,61,316,99
115,61,315,98
115,61,313,97
115,60,312,97
114,60,310,97
113,60,308,96
113,60,307,96
113,59,305,96
112,59,304,95
112,59,302,94
112,59,300,94
111,59,300,94
111,58,297,94
110,58,295,93
110,58,295,93
110,57,293,92
109,57,292,92
109,57,290,92
108,56,289,92
108,56,287,92
108,56,286,91
107,56,285,91
107,56,284,91
106,55,282,90
106,55,280,90
105,55,280,89
105,54,278,89
103,54,277,89
103,54,275,88
103,54,274,88
103,54,273,88
103,53,271,87
102,53,270,87
102,52,269,87
102,53,268,86
102,52,267,86
101,52,265,86
100,51,263,85
100,51,263,85
99,51,262,84
99,51,260,84
99,51,259,84
98,50,258,84
98,50,257,83
98,50,255,83
97,49,255,83
97,50,253,82
97,49,252,82
96,49,252,82
96,49,250,82
96,48,249,81
95,48,248,81
95,48,247,81
95,48,246,80
94,48,245,80
94,48,243,79
93,48,243,79
94,47,242,79
93,47,241,79
93,47,240,79
92,46,239,79
92,46,238,78
91,47,237,78
91,46,236,77
91,46,235,77
90,45,233,77
91,45,233,77
90,45,231,77
89,45,231,76
89,45,230,76
89,45,229,75
88,44,228,75
88,58,227,75
88,60,226,75
88,59,225,75
88,58,224,74
87,58,224,74
87,58,222,73
86,57,222,73
86,57,220,73
85,57,220,73
85,56,219,71
85,57,218,71
85,56,217,71
84,56,216,71
84,56,216,71
83,56,215,71
83,55,214,71
83,55,213,71
83,55,211,71
82,54,211,70
82,54,210,70
82,54,209,70
82,54,208,69
81,53,207,69
81,53,207,69
80,52,206,68
80,52,205,68
79,52,205,68
79,52,203,68
79,51,203,67
79,51,202,67
78,51,201,67
78,50,199,67
78,51,199,67
78,50,199,67
77,50,198,66
77,50,197,66
77,50,196,66
77,49,195,65
77,49,195,66
76,49,194,65
76,48,193,65
76,48,193,65
75,48,192,64
75,48,191,64
75,48,190,63
74,48,190,63
74,47,189,63
74,47,188,63
73,46,188,63
73,46,187,63
73,46,186,62
73,46,185,62
71,57,185,62
71,56,184,62
71,56,184,62
71,56,182,61
71,56,181,61
71,55,181,61
71,55,180,60
70,54,179,60
70,54,179,61
77,54,178,60
76,54,177,60
76,53,177,59
76,53,176,59
75,52,175,59
75,52,175,59
75,52,174,59
75,51,173,58
74,51,172,58
73,51,172,58
73,51,172,57
71,51,171,58
71,50,169,57
